name,handedness,height,weight,avg,HR,name_clean,last_name
Jim Lefebvre,B,72,180,0.251,74,Jim Lefebvre,Lefebvre
Fernando Arroyo,R,74,180,0,0,Fernando Arroyo,Arroyo
Gary Beare,R,76,205,0,0,Gary Beare,Beare
Charlie Spikes,R,75,215,0.246,65,Charlie Spikes,Spikes
Brian Dubois,L,70,165,0,0,Brian Dubois,Dubois
Steve Whitaker,L,72,180,0.23,24,Steve Whitaker,Whitaker
Manny Jimenez,L,73,185,0.272,26,Manny Jimenez,Jimenez
Chris Batton,R,76,195,0,0,Chris Batton,Batton
Duffy Dyer,R,72,187,0.221,30,Duffy Dyer,Dyer
Ken Henderson,B,74,180,0.257,122,Ken Henderson,Henderson
Vance Lovelace,L,77,205,0,0,Vance Lovelace,Lovelace
Greg Thayer,R,71,182,0,0,Greg Thayer,Thayer
Vern Fuller,R,73,170,0.232,14,Vern Fuller,Fuller
Paul Hartzell,R,77,200,0,0,Paul Hartzell,Hartzell
Wayne Gross,L,74,210,0.233,121,Wayne Gross,Gross
Mike Champion,R,72,185,0.229,2,Mike Champion,Champion
Ralph Botting,L,72,195,0,0,Ralph Botting,Botting
Paul Casanova,R,76,180,0.225,50,Paul Casanova,Casanova
Steve Rogers,R,74,175,0.138,0,Steve Rogers,Rogers
Keith Creel,R,74,180,0,0,Keith Creel,Creel
Terry Crowley,L,72,180,0.25,42,Terry Crowley,Crowley
Horace Clarke,B,69,170,0.256,27,Horace Clarke,Clarke
Lou Clinton,R,73,185,0.247,65,Lou Clinton,Clinton
Larry Cox,R,70,178,0.221,12,Larry Cox,Cox
Nate Colbert,R,74,190,0.243,173,Nate Colbert,Colbert
Phil Roof,R,74,190,0.215,43,Phil Roof,Roof
Chuck Hinton,R,73,180,0.264,113,Chuck Hinton,Hinton
Tim Cullen,R,73,185,0.22,9,Tim Cullen,Cullen
Tim Harkness,L,74,182,0.235,14,Tim Harkness,Harkness
Rick Bosetti,R,71,185,0.25,17,Rick Bosetti,Bosetti
Ron Pruitt,R,72,185,0.269,12,Ron Pruitt,Pruitt
George Foster,R,73,180,0.274,348,George Foster,Foster
Jerry White,B,70,164,0.253,21,Jerry White,White
Angel Mangual,R,70,178,0.245,22,Angel Mangual,Mangual
Ken Gerhart,R,72,190,0.221,24,Ken Gerhart,Gerhart
Mike Hershberger,R,70,175,0.252,26,Mike Hershberger,Hershberger
Jim French,L,68,180,0.196,5,Jim French,French
Dave Roberts,L,75,195,0.194,7,Dave Roberts2,Roberts
Jim Mason,L,74,185,0.203,12,Jim Mason,Mason
Mike Smith,R,75,180,0,0,Mike Smith,Smith
Willie Smith,L,72,182,0.248,46,Willie Smith,Smith
T.R. Bryden,R,76,190,0,0,T.R. Bryden,Bryden
Jose Arcia,R,75,170,0.215,1,Jose Arcia,Arcia
Leon Durham,L,73,185,0.277,147,Leon Durham,Durham
Tom Makowski,R,71,185,0,0,Tom Makowski,Makowski
Paul Householder,B,72,180,0.236,29,Paul Householder,Householder
Aurelio Rodriguez,R,70,180,0.237,124,Aurelio Rodriguez,Rodriguez
Jimmy Stewart,B,72,165,0.237,8,Jimmy Stewart,Stewart
Dick Phillips,L,72,180,0.229,12,Dick Phillips,Phillips
Andres Thomas,R,73,170,0.234,42,Andres Thomas,Thomas
Ed Crosby,L,74,175,0.22,0,Ed Crosby,Crosby
Mike de la Hoz,R,71,175,0.251,25,Mike de la Hoz,Hoz
Frank Taveras,R,72,155,0.255,2,Frank Taveras,Taveras
Joe Nossek,R,72,178,0.228,3,Joe Nossek,Nossek
Larry Stahl,L,72,175,0.232,36,Larry Stahl,Stahl
Jose Cruz,L,72,170,0.284,165,Jose Cruz,Cruz
Don Mason,L,71,160,0.205,3,Don Mason,Mason
Bill Robinson,R,74,189,0.258,166,Bill Robinson,Robinson
Jim Umbarger,L,78,200,0,0,Jim Umbarger,Umbarger
Sal Bando,R,72,195,0.254,242,Sal Bando,Bando
George Mitterwald,R,74,195,0.236,76,George Mitterwald,Mitterwald
Mike Darr,R,76,190,0,0,Mike Darr,Darr
Craig Robinson,R,70,165,0.219,0,Craig Robinson,Robinson
Bob Tillman,R,76,205,0.232,79,Bob Tillman,Tillman
Curt Wardle,L,77,220,0,0,Curt Wardle,Wardle
Pat Corrales,R,72,180,0.216,4,Pat Corrales,Corrales
Mike Tyson,R,69,170,0.241,27,Mike Tyson,Tyson
Rafael Landestoy,B,70,165,0.237,4,Rafael Landestoy,Landestoy
Duane Josephson,R,72,190,0.258,23,Duane Josephson,Josephson
Duane Walker,L,72,185,0.229,24,Duane Walker,Walker
Glenn Hubbard,R,69,150,0.244,70,Glenn Hubbard,Hubbard
Roger Freed,R,72,190,0.245,22,Roger Freed,Freed
George Hendrick,R,75,195,0.278,267,George Hendrick,Hendrick
Rod Carew,L,72,170,0.328,92,Rod Carew,Carew
Bob Davis,R,72,180,0.197,6,Bob Davis,Davis
Toby Harrah,R,72,175,0.264,195,Toby Harrah,Harrah
Rick Manning,L,73,180,0.257,56,Rick Manning,Manning
Israel Sanchez,L,69,170,0,0,Israel Sanchez,Sanchez
Steve Burke,B,74,200,0,0,Steve Burke,Burke
Gary Matthews,R,74,185,0.281,234,Gary Matthews,Matthews
Cesar Geronimo,L,72,165,0.258,51,Cesar Geronimo,Geronimo
Billy Bryan,L,76,200,0.216,41,Billy Bryan,Bryan
Terry Taylor,R,73,180,0,0,Terry Taylor,Taylor
Terry Whitfield,L,73,197,0.281,33,Terry Whitfield,Whitfield
Mario Mendoza,R,71,170,0.215,4,Mario Mendoza,Mendoza
Fred Lynn,L,73,185,0.283,306,Fred Lynn,Lynn
Larry Hisle,R,74,193,0.273,166,Larry Hisle,Hisle
Graig Nettles,L,72,180,0.248,390,Graig Nettles,Nettles
Randy Nosek,R,76,215,0,0,Randy Nosek,Nosek
Dave Engle,R,75,210,0.262,31,Dave Engle,Engle
Narciso Elvira,L,70,160,0,0,Narciso Elvira,Elvira
Mike Easler,L,72,190,0.293,118,Mike Easler,Easler
Mark Smith,R,74,215,0,0,Mark Smith,Smith
Paul Mitchell,R,73,195,0,0,Paul Mitchell,Mitchell
Rick Sweet,B,73,200,0.234,6,Rick Sweet,Sweet
Thurman Munson,R,71,190,0.292,113,Thurman Munson,Munson
Rick Monday,L,75,193,0.264,241,Rick Monday,Monday
Mike Sadek,R,69,165,0.226,5,Mike Sadek,Sadek
Mark Belanger,R,73,170,0.228,20,Mark Belanger,Belanger
Ron Hunt,R,72,186,0.273,39,Ron Hunt,Hunt
Joe Keough,L,72,185,0.246,9,Joe Keough,Keough
Butch Edge,R,75,203,0,0,Butch Edge,Edge
Vic Correll,R,70,185,0.229,29,Vic Correll,Correll
Jackie Hernandez,R,71,165,0.208,12,Jackie Hernandez,Hernandez
Tony Solaita,L,72,210,0.255,50,Tony Solaita,Solaita
U L Washington,B,71,175,0.251,27,U L Washington,Washington
Gary Mielke,R,75,185,0,0,Gary Mielke,Mielke
Rick Henninger,R,78,225,0,0,Rick Henninger,Henninger
Joe Foy,R,72,215,0.248,58,Joe Foy,Foy
Ed Goodson,L,75,180,0.26,30,Ed Goodson,Goodson
Mark Brown,B,74,190,0,0,Mark Brown,Brown
Mickey Klutts,R,71,170,0.241,14,Mickey Klutts,Klutts
Leroy Stanton,R,73,195,0.244,77,Leroy Stanton,Stanton
Rafael Vasquez,R,72,160,0,0,Rafael Vasquez,Vasquez
Len Whitehouse,L,71,175,0,0,Len Whitehouse,Whitehouse
Danny Ainge,R,76,175,0.22,2,Danny Ainge,Ainge
Adolfo Phillips,R,73,175,0.247,59,Adolfo Phillips,Phillips
Marv Breeding,R,72,175,0.25,7,Marv Breeding,Breeding
Steve Adkins,R,78,210,0,0,Steve Adkins,Adkins
Dick McAuliffe,L,71,176,0.247,197,Dick McAuliffe,McAuliffe
Joe Horlen,R,72,170,0.134,0,Joe Horlen,Horlen
Glenn Burke,R,72,195,0.237,2,Glenn Burke,Burke
Tony Mack,R,70,177,0,0,Tony Mack,Mack
Terry Humphrey,R,75,185,0.211,6,Terry Humphrey,Humphrey
Bill Moran,R,76,210,0,0,Bill Moran,Moran
Enzo Hernandez,R,68,155,0.224,2,Enzo Hernandez,Hernandez
Cesar Gutierrez,R,69,155,0.235,0,Cesar Gutierrez,Gutierrez
Coco Laboy,R,70,165,0.233,28,Coco Laboy,Laboy
Ted Kubiak,B,72,175,0.231,13,Ted Kubiak,Kubiak
Jim Morrison,R,71,175,0.26,112,Jim Morrison,Morrison
Tom Gilles,R,73,185,0,0,Tom Gilles,Gilles
Bobby Knoop,R,73,170,0.236,56,Bobby Knoop,Knoop
Bobby Brown,B,74,190,0.245,26,Bobby Brown,Brown
Tom Hutton,L,71,180,0.248,22,Tom Hutton,Hutton
Ron Hodges,L,73,185,0.24,19,Ron Hodges,Hodges
Rich Chiles,L,71,170,0.254,6,Rich Chiles,Chiles
Tom Paciorek,R,76,215,0.282,86,Tom Paciorek,Paciorek
Gary Woods,R,74,185,0.243,13,Gary Woods,Woods
Bob Montgomery,R,73,195,0.258,23,Bob Montgomery,Montgomery
Jeff Burroughs,R,73,200,0.261,240,Jeff Burroughs,Burroughs
Rusty Staub,L,74,190,0.279,292,Rusty Staub,Staub
Jim Norris,L,70,175,0.264,7,Jim Norris,Norris
Oscar Gamble,L,71,160,0.265,200,Oscar Gamble,Gamble
Bob Kammeyer,R,76,210,0,0,Bob Kammeyer,Kammeyer
George Vukovich,L,72,198,0.268,27,George Vukovich,Vukovich
Joe Pactwa,L,71,185,0,0,Joe Pactwa,Pactwa
Craig Reynolds,L,73,175,0.256,42,Craig Reynolds,Reynolds
Paul Blair,R,72,168,0.25,134,Paul Blair,Blair
Al Cowens,R,73,197,0.27,108,Al Cowens,Cowens
Al Oliver,L,72,195,0.303,219,Al Oliver,Oliver
Dave Hilton,R,71,191,0.213,6,Dave Hilton,Hilton
Luis Alvarado,R,69,162,0.214,5,Luis Alvarado,Alvarado
Larry Parrish,R,75,190,0.263,256,Larry Parrish,Parrish
Woodie Fryman,R,75,197,0.138,2,Woodie Fryman,Fryman
Bob Randall,R,74,175,0.257,1,Bob Randall,Randall
Jim Pankovits,R,70,170,0.25,9,Jim Pankovits,Pankovits
Sherman Corbett,L,76,205,0,0,Sherman Corbett,Corbett
Carmen Fanzone,R,72,200,0.224,20,Carmen Fanzone,Fanzone
Gary Allenson,R,71,185,0.221,19,Gary Allenson,Allenson
Milt May,L,72,190,0.263,77,Milt May,May
Mike Vail,R,73,180,0.279,34,Mike Vail,Vail
Nick Esasky,R,75,200,0.25,122,Nick Esasky,Esasky
Jim Nettles,L,72,186,0.22,16,Jim Nettles,Nettles
Lafayette Currence,B,71,175,0,0,Lafayette Currence,Currence
Chris Cannizzaro,R,72,190,0.235,18,Chris Cannizzaro,Cannizzaro
Larry Biittner,L,74,205,0.273,29,Larry Biittner,Biittner
John Pawlowski,R,74,175,0,0,John Pawlowski,Pawlowski
Mel Stottlemyre,R,73,178,0.16,7,Mel Stottlemyre1,Stottlemyre
Jack Hardy,R,74,175,0,0,Jack Hardy,Hardy
Ron Musselman,R,74,185,0,0,Ron Musselman,Musselman
Roy Smalley,B,73,185,0.257,163,Roy Smalley,Smalley
Tony Chevez,R,71,177,0,0,Tony Chevez,Chevez
Andy Messersmith,R,73,200,0.17,5,Andy Messersmith,Messersmith
Richie Zisk,R,73,200,0.287,207,Richie Zisk,Zisk
Dave Chalk,R,70,175,0.252,15,Dave Chalk,Chalk
Don Baylor,R,73,190,0.26,338,Don Baylor,Baylor
John Vukovich,R,73,187,0.161,6,John Vukovich,Vukovich
Danny Thompson,R,72,183,0.248,15,Danny Thompson,Thompson
Joe Simpson,L,75,175,0.242,9,Joe Simpson,Simpson
Bill Fahey,L,72,200,0.241,7,Bill Fahey,Fahey
Doug Camilli,R,71,195,0.199,18,Doug Camilli,Camilli
Bernie Allen,L,72,175,0.239,73,Bernie Allen,Allen
Bruce Bochy,R,75,205,0.239,26,Bruce Bochy,Bochy
Gary Ignasiak,R,71,185,0,0,Gary Ignasiak,Ignasiak
Claudell Washington,L,72,190,0.278,164,Claudell Washington,Washington
John Donaldson,L,71,160,0.238,4,John Donaldson,Donaldson
Mike Smithson,L,80,215,0,0,Mike Smithson,Smithson
John Mayberry,L,75,215,0.253,255,John Mayberry,Mayberry
Ken Reitz,R,72,180,0.26,68,Ken Reitz,Reitz
Amos Otis,R,71,165,0.277,193,Amos Otis,Otis
Gene Alley,R,70,160,0.254,55,Gene Alley,Alley
Ted Sizemore,R,70,165,0.262,23,Ted Sizemore,Sizemore
Dan Briggs,L,72,180,0.195,12,Dan Briggs,Briggs
Joe Skalski,R,75,190,0,0,Joe Skalski,Skalski
Doug Flynn,R,71,165,0.238,7,Doug Flynn,Flynn
Bert Bradley,B,73,190,0,0,Bert Bradley,Bradley
Ken Holtzman,R,74,175,0.163,2,Ken Holtzman,Holtzman
Pete Ward,L,73,185,0.254,98,Pete Ward,Ward
Kevin Bell,R,72,195,0.222,13,Kevin Bell,Bell
Tom Nieto,R,73,193,0.205,5,Tom Nieto,Nieto
Duke Sims,L,74,197,0.239,100,Duke Sims,Sims
Larvell Blanks,R,68,167,0.253,20,Larvell Blanks,Blanks
Francisco Barrios,R,71,155,0,0,Francisco Barrios,Barrios
Mike Davis,L,74,175,0.259,91,Mike Davis,Davis
Jerry Reuss,L,77,200,0.167,1,Jerry Reuss,Reuss
Steve Yeager,R,72,190,0.228,102,Steve Yeager,Yeager
Danny Goodwin,L,73,195,0.236,13,Danny Goodwin,Goodwin
Bud Harrelson,B,71,160,0.236,7,Bud Harrelson,Harrelson
Bob Knepper,L,75,195,0.137,6,Bob Knepper,Knepper
Mickey Rivers,L,70,165,0.295,61,Mickey Rivers,Rivers
Jim Northrup,L,75,190,0.267,153,Jim Northrup,Northrup
John Hale,L,74,195,0.201,14,John Hale,Hale
Reggie Ritter,L,74,195,0,0,Reggie Ritter,Ritter
Pedro Garcia,R,70,175,0.22,37,Pedro Garcia,Garcia
